plate_ID,plate_rep,temperature,plate_well,is_blank,area_mm2.measurement,imageJ_ID,fieldrep_ID,treatment_group,sample_id_group,exclude_from_analysis,exclude_reason
APC-CC2-11,CC2,11,B1,TRUE,,,,CC,CC,,
APC-CC2-11,CC2,11,B2,FALSE,59.04,8,C,CC,CCC8,,
APC-CC2-11,CC2,11,B3,FALSE,70.664,6,C,CC,CCC6,1,DOA
APC-CC2-11,CC2,11,B4,FALSE,35.884,7,C,CC,CCC7,,
APC-CC2-11,CC2,11,B5,FALSE,37.304,5,C,CC,CCC5,,
APC-CC2-11,CC2,11,B6,TRUE,,,,CC,CC,,
APC-CC2-11,CC2,11,C1,TRUE,,,,CC,CC,,
APC-CC2-11,CC2,11,C2,FALSE,62.63,11,D,CC,CCD11,1,DOA
APC-CC2-11,CC2,11,C3,FALSE,37.751,12,D,CC,CCD12,,
APC-CC2-11,CC2,11,C4,FALSE,64.089,10,D,CC,CCD10,1,DOA
APC-CC2-11,CC2,11,C5,FALSE,34.057,9,D,CC,CCD9,1,DOA
APC-CC2-11,CC2,11,C6,TRUE,,,,CC,CC,,
APC-CC2-11,CC2,11,D1,TRUE,,,,CC,CC,,
APC-CC2-11,CC2,11,D2,FALSE,31.716,16,D,CC,CCD16,,
APC-CC2-11,CC2,11,D3,FALSE,43.327,15,D,CC,CCD15,1,DOA
APC-CC2-11,CC2,11,D4,FALSE,63.945,13,D,CC,CCD13,,
APC-CC2-11,CC2,11,D5,FALSE,26.89,14,D,CC,CCD14,1,DOA
APC-CC2-11,CC2,11,D6,TRUE,,,,CC,CC,,
APC-CP1-11,CP1,11,A1,TRUE,,,,CP,CP,,
APC-CP1-11,CP1,11,A2,FALSE,17.059,4,A,CP,CPA4,,
APC-CP1-11,CP1,11,A3,FALSE,69.095,1,A,CP,CPA1,,
APC-CP1-11,CP1,11,A4,FALSE,17.418,2,A,CP,CPA2,1,DOA
APC-CP1-11,CP1,11,A5,FALSE,55.278,3,A,CP,CPA3,,
APC-CP1-11,CP1,11,A6,TRUE,,,,CP,CP,,
APC-CP1-11,CP1,11,B1,TRUE,,,,CP,CP,,
APC-CP1-11,CP1,11,B2,FALSE,14.863,9,A,CP,CPA9,,
APC-CP1-11,CP1,11,B3,FALSE,88.322,7,A,CP,CPA7,,
APC-CP1-11,CP1,11,B4,FALSE,38.605,6,A,CP,CPA6,,
APC-CP1-11,CP1,11,B5,FALSE,33.214,8,D,CP,CPD8,,
APC-CP1-11,CP1,11,B6,TRUE,,,,CP,CP,,
APC-CP1-11,CP1,11,C1,TRUE,,,,CP,CP,,
APC-CP1-11,CP1,11,C2,FALSE,51.631,12,B,CP,CPB12,,
APC-CP1-11,CP1,11,C3,FALSE,44.694,13,B,CP,CPB13,1,DOA
APC-CP1-11,CP1,11,C4,FALSE,55.627,11,B,CP,CPB11,,
APC-CP1-11,CP1,11,C5,FALSE,9.01,14,D,CP,CPD14,,
APC-CP1-11,CP1,11,C6,TRUE,,,,CP,CP,,
APC-CP1-11,CP1,11,D1,TRUE,,,,CP,CP,,
APC-CP1-11,CP1,11,D2,FALSE,68.407,16,D,CP,CPD16,1,DOA
APC-CP1-11,CP1,11,D3,FALSE,24.477,18,D,CP,CPD18,,
APC-CP1-11,CP1,11,D4,FALSE,21.414,17,D,CP,CPD17,,
APC-CP1-11,CP1,11,D5,FALSE,34.92,19,D,CP,CPD19,,
APC-CP1-11,CP1,11,D6,TRUE,,,,CP,CP,,
APC-CP2-11,CP2,11,A1,TRUE,,,,CP,CP,,
APC-CP2-11,CP2,11,A2,FALSE,11.399,4,C,CP,CPC4,1,DOA
APC-CP2-11,CP2,11,A3,FALSE,10.772,2,C,CP,CPC2,1,DOA
APC-CP2-11,CP2,11,A4,FALSE,57.58,1,C,CP,CPC1,,
APC-CP2-11,CP2,11,A5,FALSE,49.814,3,C,CP,CPC3,,
APC-CP2-11,CP2,11,A6,TRUE,,,,CP,CP,,
APC-CP2-11,CP2,11,B1,TRUE,,,,CP,CP,,
APC-CP2-11,CP2,11,B2,FALSE,43.907,8,C,CP,CPC8,,
APC-CP2-11,CP2,11,B3,FALSE,38.681,5,C,CP,CPC5,,
APC-CP2-11,CP2,11,B4,FALSE,27.866,7,C,CP,CPC7,,
APC-CP2-11,CP2,11,B5,FALSE,17.391,6,C,CP,CPC6,1,DOA
APC-CP2-11,CP2,11,B6,TRUE,,,,CP,CP,,
APC-CP2-11,CP2,11,C1,TRUE,,,,CP,CP,,
APC-CP2-11,CP2,11,C2,FALSE,65.186,12,D,CP,CPD12,,
APC-CP2-11,CP2,11,C3,FALSE,78.785,11,D,CP,CPD11,1,DOA
APC-CP2-11,CP2,11,C4,FALSE,59.131,10,D,CP,CPD10,,
APC-CP2-11,CP2,11,C5,FALSE,42.558,9,D,CP,CPD9,,
APC-CP2-11,CP2,11,C6,TRUE,,,,CP,CP,,
APC-CP2-11,CP2,11,D1,TRUE,,,,CP,CP,,
APC-CP2-11,CP2,11,D2,FALSE,44.906,16,D,CP,CPD16,,
APC-CP2-11,CP2,11,D3,FALSE,83.841,14,D,CP,CPD14,,
APC-CP2-11,CP2,11,D4,FALSE,105.832,13,D,CP,CPD13,,
APC-CP2-11,CP2,11,D5,FALSE,56.741,15,D,CP,CPD15,,
APC-CP2-11,CP2,11,D6,TRUE,,,,CP,CP,,
APC-EE1-11,EE1,11,A1,TRUE,,,,EE,EE,,
